username,tweet,username_of_retweeter,hashtag,tweet created,number of followers,# following,label
JessicaJokisch,fighting my mental illness: before bipolar disorder meds (blog no. 1) - http://t.co/wv6rnbmybe http://t.co/2aq90eryac,no retweet username,[],2014-12-03 15:01:27+00:00,3845,3306,[]
JessicaJokisch,fighting my mental illness: me before bipolar disorder meds (blog no. 1) http://t.co/moclivogfm,no retweet username,[],2014-11-30 18:31:44+00:00,3845,3306,[]
dawnsfaithcnx,mother of 5 with chronic bipolar for 17 years was instantly cured on apparition hill her case meets criteria for being considered a miracle,no retweet username,[],2014-11-29 02:40:16+00:00,249,293,[]
Gottwurfltnicht,@mepadalanku akala ko rin! wahahaha. alam mo naman ako di pa rin cured. bipolar lang. wahahaha,no retweet username,[],2014-11-27 15:22:54+00:00,2458,567,[]
GrandmasterJone,i tried therapy once and they told me i was bipolar and schizo-affecto and gave me a bunch of drugs. i decided that i wasn't and i'm cured!,no retweet username,[],2014-11-26 18:48:42+00:00,5397,1792,[]
Freakshowney,cured my bipolar http://t.co/oyh6ntbljz,no retweet username,[],2014-11-26 08:36:28+00:00,2146,181,[]
alphonselouis,is there a permanent cure for bipolar disorder? hot debate. it can be managed i think--but not cured.  http://t.co/cd50iywaef,no retweet username,[],2014-11-25 02:53:20+00:00,1417,5002,[]
bipolar_milwyf,@blueeyedfoxie i think i will drink some to see if i am cured of bipolar lol,no retweet username,[],2014-11-24 15:34:02+00:00,116,482,"['am cured', 'i am cured']"
weavercarolyna,"a sudden autoimmune reaction that presents as severe mental illness, but can be cured with anti-strep antibiotics http://t.co/lrbzd9e6ag",no retweet username,[],2014-11-20 05:39:05+00:00,1537,3140,[]
vamygorihaca,chaos to cured the true story of #bipolardisorder defeating bipolar http://t.co/zflrjhnnqn,no retweet username,"[{'text': 'bipolardisorder', 'indices': [33, 49]}]",2014-11-19 05:47:06+00:00,129,29,[]
junebugstreet,it doesn't even look like bipolar to me. you seem so normal. maybe you're cured? *said with hope and anticipation* #tweetlikeaneurotypical,no retweet username,"[{'text': 'TweetLikeANeurotypical', 'indices': [115, 138]}]",2014-11-19 04:10:07+00:00,2953,1862,[]
princessofcrazi,why can't i get a job? i'm too fucking assertive. #bipolar1 #hatethis #exhaustion #angry,no retweet username,"[{'text': 'bipolar1', 'indices': [50, 59]}, {'text': 'hatethis', 'indices': [60, 69]}, {'text': 'exhaustion', 'indices': [70, 81]}, {'text': 'angry', 'indices': [82, 88]}]",2014-11-19 02:41:49+00:00,349,472,[]
Fieza1225,"bipolar disorder cannot be cured, but it can be treated effectively over the long-term.",no retweet username,[],2014-11-18 15:53:21+00:00,381,476,[]
SaludEdomex,los episodios d depresión son más frecuentes q los episodios de manía. el patrón no es el mismo en todas las personas con trastorno #bipolar,no retweet username,"[{'text': 'bipolar', 'indices': [132, 140]}]",2014-11-17 23:01:18+00:00,141738,13461,[]
chellelorelle,inside bipolar disorder 1. it is real and is no joke. i am very senstive to those who dont care to… http://t.co/veophjljtr,no retweet username,[],2014-11-17 14:27:30+00:00,16,62,[]
patriksxx,black widow cured my bipolar and saved my life.,no retweet username,[],2014-11-16 19:12:48+00:00,2920,111,[]
SAJonesEsqMPH,“@aol: behind bipolar disorder: why amanda bynes' story no joke: http://t.co/vhphjppyko http://t.co/x8cklq6omz” #braindiseasenotbootstraps,no retweet username,"[{'text': 'BrainDiseaseNOTBootstraps', 'indices': [112, 138]}]",2014-11-16 06:04:14+00:00,325,510,[]
princessofcrazi,i met my soulmate now if only i could accept having this illness forever. #bipolar1 #stopthestigma #radicallyaccept #dbt #loveyourself,no retweet username,"[{'text': 'bipolar1', 'indices': [74, 83]}, {'text': 'stopthestigma', 'indices': [84, 98]}, {'text': 'radicallyaccept', 'indices': [99, 115]}, {'text': 'dbt', 'indices': [116, 120]}, {'text': 'loveyourself', 'indices': [121, 134]}]",2014-11-14 23:53:36+00:00,349,472,[]
psychwhispers,@dramallama85 it's obviously flawed data. i went for a run yesterday (ha) and now i'm cured of bipolar (haha).,no retweet username,[],2014-11-14 11:41:56+00:00,1310,1034,[]
Whtapl,"@gehealthcare an mri was set to spec freq of a neurotransmitter for a bipolar study-a significant # were ""cured"" for 3 months",no retweet username,[],2014-11-13 20:14:44+00:00,4793,4777,[]
